X32,Y32,Z32,Vx,Vy,Vz
-1.00,-1.00,-1.00,2.00,2.00,2.00
-1.00,-1.00,-0.94,1.75,1.75,2.00
-1.00,-1.00,-0.87,1.53,1.53,2.00
-1.00,-1.00,-0.81,1.33,1.33,2.00
-1.00,-1.00,-0.74,1.15,1.15,2.00
-1.00,-1.00,-0.68,0.99,0.99,2.00
-1.00,-1.00,-0.61,0.84,0.84,2.00
-1.00,-1.00,-0.55,0.71,0.71,2.00
-1.00,-1.00,-0.48,0.60,0.60,2.00
-1.00,-1.00,-0.42,0.49,0.49,2.00
-1.00,-1.00,-0.35,0.40,0.40,2.00
-1.00,-1.00,-0.29,0.31,0.31,2.00
-1.00,-1.00,-0.23,0.24,0.24,2.00
-1.00,-1.00,-0.16,0.17,0.17,2.00
-1.00,-1.00,-0.10,0.10,0.10,2.00
-1.00,-1.00,-0.03,0.03,0.03,2.00
-1.00,-1.00,0.03,-0.03,-0.03,2.00
-1.00,-1.00,0.10,-0.10,-0.10,2.00
-1.00,-1.00,0.16,-0.17,-0.17,2.00
-1.00,-1.00,0.23,-0.24,-0.24,2.00
-1.00,-1.00,0.29,-0.31,-0.31,2.00
-1.00,-1.00,0.35,-0.40,-0.40,2.00
-1.00,-1.00,0.42,-0.49,-0.49,2.00
-1.00,-1.00,0.48,-0.60,-0.60,2.00
-1.00,-1.00,0.55,-0.71,-0.71,2.00
-1.00,-1.00,0.61,-0.84,-0.84,2.00
-1.00,-1.00,0.68,-0.99,-0.99,2.00
-1.00,-1.00,0.74,-1.15,-1.15,2.00
-1.00,-1.00,0.81,-1.33,-1.33,2.00
-1.00,-1.00,0.87,-1.53,-1.53,2.00
-1.00,-1.00,0.94,-1.75,-1.75,2.00
-1.00,-1.00,1.00,-2.00,-2.00,2.00
-1.00,-0.94,-1.00,1.75,2.00,1.75
-1.00,-0.94,-0.94,1.53,1.75,1.75
-1.00,-0.94,-0.87,1.33,1.53,1.75
-1.00,-0.94,-0.81,1.15,1.33,1.75
-1.00,-0.94,-0.74,0.99,1.15,1.75
-1.00,-0.94,-0.68,0.85,0.99,1.75
-1.00,-0.94,-0.61,0.72,0.84,1.75
-1.00,-0.94,-0.55,0.60,0.71,1.75
-1.00,-0.94,-0.48,0.50,0.60,1.75
-1.00,-0.94,-0.42,0.41,0.49,1.75
-1.00,-0.94,-0.35,0.33,0.40,1.75
-1.00,-0.94,-0.29,0.26,0.31,1.75
-1.00,-0.94,-0.23,0.20,0.24,1.75
-1.00,-0.94,-0.16,0.14,0.17,1.75
-1.00,-0.94,-0.10,0.08,0.10,1.75
-1.00,-0.94,-0.03,0.03,0.03,1.75
-1.00,-0.94,0.03,-0.03,-0.03,1.75
-1.00,-0.94,0.10,-0.08,-0.10,1.75
