X32,Y32,Z32,S
-1.00,-1.00,-1.00,0.00
-0.94,-1.00,-1.00,0.00
-0.87,-1.00,-1.00,0.00
-0.81,-1.00,-1.00,0.00
-0.74,-1.00,-1.00,0.00
-0.68,-1.00,-1.00,0.00
-0.61,-1.00,-1.00,0.00
-0.55,-1.00,-1.00,0.00
-0.48,-1.00,-1.00,0.00
-0.42,-1.00,-1.00,0.00
-0.35,-1.00,-1.00,0.00
-0.29,-1.00,-1.00,0.00
-0.23,-1.00,-1.00,0.00
-0.16,-1.00,-1.00,0.00
-0.10,-1.00,-1.00,0.00
-0.03,-1.00,-1.00,0.00
0.03,-1.00,-1.00,0.00
0.10,-1.00,-1.00,0.00
0.16,-1.00,-1.00,0.00
0.23,-1.00,-1.00,0.00
0.29,-1.00,-1.00,0.00
0.35,-1.00,-1.00,0.00
0.42,-1.00,-1.00,0.00
0.48,-1.00,-1.00,0.00
0.55,-1.00,-1.00,0.00
0.61,-1.00,-1.00,0.00
0.68,-1.00,-1.00,0.00
0.74,-1.00,-1.00,0.00
0.81,-1.00,-1.00,0.00
0.87,-1.00,-1.00,0.00
0.94,-1.00,-1.00,0.00
1.00,-1.00,-1.00,0.00
-1.00,-0.94,-1.00,0.00
-0.94,-0.94,-1.00,0.00
-0.87,-0.94,-1.00,0.00
-0.81,-0.94,-1.00,0.00
-0.74,-0.94,-1.00,0.00
-0.68,-0.94,-1.00,0.00
-0.61,-0.94,-1.00,0.00
-0.55,-0.94,-1.00,0.00
-0.48,-0.94,-1.00,0.00
-0.42,-0.94,-1.00,0.00
-0.35,-0.94,-1.00,0.00
-0.29,-0.94,-1.00,0.00
-0.23,-0.94,-1.00,0.00
-0.16,-0.94,-1.00,0.00
-0.10,-0.94,-1.00,0.00
-0.03,-0.94,-1.00,0.00
0.03,-0.94,-1.00,0.00
0.10,-0.94,-1.00,0.00
0.16,-0.94,-1.00,0.00
0.23,-0.94,-1.00,0.00
0.29,-0.94,-1.00,0.00
0.35,-0.94,-1.00,0.00
0.42,-0.94,-1.00,0.00
0.48,-0.94,-1.00,0.00
0.55,-0.94,-1.00,0.00
0.61,-0.94,-1.00,0.00
0.68,-0.94,-1.00,0.00
0.74,-0.94,-1.00,0.01
0.81,-0.94,-1.00,0.01
0.87,-0.94,-1.00,0.01
0.94,-0.94,-1.00,0.01
1.00,-0.94,-1.00,0.01
-1.00,-0.87,-1.00,0.00
-0.94,-0.87,-1.00,0.00
-0.87,-0.87,-1.00,0.00
-0.81,-0.87,-1.00,0.00
-0.74,-0.87,-1.00,0.00
-0.68,-0.87,-1.00,0.00
-0.61,-0.87,-1.00,0.00
-0.55,-0.87,-1.00,0.00
-0.48,-0.87,-1.00,0.00
-0.42,-0.87,-1.00,0.00
-0.35,-0.87,-1.00,0.00
-0.29,-0.87,-1.00,0.00
-0.23,-0.87,-1.00,0.00
-0.16,-0.87,-1.00,0.00
-0.10,-0.87,-1.00,0.00
-0.03,-0.87,-1.00,0.00
0.03,-0.87,-1.00,0.00
0.10,-0.87,-1.00,0.00
0.16,-0.87,-1.00,0.00
0.23,-0.87,-1.00,0.00
0.29,-0.87,-1.00,0.00
0.35,-0.87,-1.00,0.00
0.42,-0.87,-1.00,0.00
0.48,-0.87,-1.00,0.00
0.55,-0.87,-1.00,0.00
0.61,-0.87,-1.00,0.01
0.68,-0.87,-1.00,0.01
0.74,-0.87,-1.00,0.01
0.81,-0.87,-1.00,0.01
0.87,-0.87,-1.00,0.01
0.94,-0.87,-1.00,0.01
1.00,-0.87,-1.00,0.01
-1.00,-0.81,-1.00,0.00
-0.94,-0.81,-1.00,0.00
-0.87,-0.81,-1.00,0.00
-0.81,-0.81,-1.00,0.00
-0.74,-0.81,-1.00,0.00
-0.68,-0.81,-1.00,0.00
-0.61,-0.81,-1.00,0.00
-0.55,-0.81,-1.00,0.00
-0.48,-0.81,-1.00,0.00
-0.42,-0.81,-1.00,0.00
-0.35,-0.81,-1.00,0.00
-0.29,-0.81,-1.00,0.00
-0.23,-0.81,-1.00,0.00
-0.16,-0.81,-1.00,0.00
-0.10,-0.81,-1.00,0.00
-0.03,-0.81,-1.00,0.00
0.03,-0.81,-1.00,0.00
0.10,-0.81,-1.00,0.00
0.16,-0.81,-1.00,0.00
0.23,-0.81,-1.00,0.00
0.29,-0.81,-1.00,0.00
0.35,-0.81,-1.00,0.00
0.42,-0.81,-1.00,0.00
0.48,-0.81,-1.00,0.01
0.55,-0.81,-1.00,0.01
0.61,-0.81,-1.00,0.01
0.68,-0.81,-1.00,0.01
0.74,-0.81,-1.00,0.02
0.81,-0.81,-1.00,0.02
0.87,-0.81,-1.00,0.02
0.94,-0.81,-1.00,0.02
1.00,-0.81,-1.00,0.02
-1.00,-0.74,-1.00,0.00
-0.94,-0.74,-1.00,0.00
-0.87,-0.74,-1.00,0.00
-0.81,-0.74,-1.00,0.00
-0.74,-0.74,-1.00,0.00
-0.68,-0.74,-1.00,0.00
-0.61,-0.74,-1.00,0.00
-0.55,-0.74,-1.00,0.00
-0.48,-0.74,-1.00,0.00
-0.42,-0.74,-1.00,0.00
-0.35,-0.74,-1.00,0.00
-0.29,-0.74,-1.00,0.00
-0.23,-0.74,-1.00,0.00
-0.16,-0.74,-1.00,0.00
-0.10,-0.74,-1.00,0.00
-0.03,-0.74,-1.00,0.00
0.03,-0.74,-1.00,0.00
0.10,-0.74,-1.00,0.00
0.16,-0.74,-1.00,0.00
0.23,-0.74,-1.00,0.00
0.29,-0.74,-1.00,0.00
0.35,-0.74,-1.00,0.00
0.42,-0.74,-1.00,0.01
0.48,-0.74,-1.00,0.01
0.55,-0.74,-1.00,0.01
0.61,-0.74,-1.00,0.02
0.68,-0.74,-1.00,0.02
0.74,-0.74,-1.00,0.03
0.81,-0.74,-1.00,0.03
0.87,-0.74,-1.00,0.04
0.94,-0.74,-1.00,0.04
1.00,-0.74,-1.00,0.04
-1.00,-0.68,-1.00,0.01
-0.94,-0.68,-1.00,0.01
-0.87,-0.68,-1.00,0.01
-0.81,-0.68,-1.00,0.01
-0.74,-0.68,-1.00,0.00
-0.68,-0.68,-1.00,0.00
-0.61,-0.68,-1.00,0.00
-0.55,-0.68,-1.00,0.00
-0.48,-0.68,-1.00,0.00
-0.42,-0.68,-1.00,0.00
-0.35,-0.68,-1.00,0.00
